pos	My wife took me here on my birthday for breakfast and it was excellent.  The weather was perfect which made sitting outside overlooking their grounds an absolute pleasure.  Our waitress was excellent and our food arrived quickly on the semi-busy Saturday morning.  It looked like the place fills up pretty quickly so the earlier you get here the better.  Do yourself a favor and get their Bloody Mary.  It was phenomenal and simply the best I've ever had.  I'm pretty sure they only use ingredients from their garden and blend them fresh when you order it.  It was amazing.  While EVERYTHING on the menu looks excellent I had the white truffle scrambled eggs vegetable skillet and it was tasty and delicious.  It came with 2 pieces of their griddled bread with was amazing and it absolutely made the meal complete.  It was the best \"toast\" I've ever had.  Anyway I can't wait to go back!
neg	U can go there n check the car out. If u wanna buy 1 there? That's wrong move! If u even want a car service from there? U made a biggest mistake of ur life!! I had 1 time asked my girlfriend to take my car there for an oil service guess what? They ripped my girlfriend off by lying how bad my car is now. If without fixing the problem. Might bring some serious accident. Then she did what they said. 4 brand new tires timing belt 4 new brake pads. U know why's the worst? All of those above I had just changed 2 months before!!! What a trashy dealer is that? People better off go somewhere!
pos	I have no idea why some people give bad reviews about this place. It goes to show you you can please everyone. They are probably griping about something that their own fault...there are many people like that.  In any case my friend and I arrived at about 5:50 PM this past Sunday. It was pretty crowded more than I thought for a Sunday evening and thought we would have to wait forever to get a seat but they said we'll be seated when the girl comes back from seating someone else. We were seated at 5:52 and the waiter came and got our drink orders. Everyone was very pleasant from the host that seated us to the waiter to the server. The prices were very good as well. We placed our orders once we decided what we wanted at 6:02. We shared the baked spaghetti calzone and the small \"Here's The Beef\" pizza so we can both try them. The calzone was huge and we got the smallest one (personal) and got the small 11\" pizza. Both were awesome! My friend liked the pizza better and I liked the calzone better. The calzone does have a sweetish sauce but that's how I like my sauce!  We had to box part of the pizza to take it home and we were out the door by 6:42. So everything was great and not like these bad reviewers. That goes to show you that  you have to try these things yourself because all these bad reviewers have some serious issues.
neg	Disgusting!  Had a Groupon so my daughter and I tried it out.  Very outdated and gaudy 80's style interior made me feel like I was in an episode of Sopranos.  The food itself was pretty bad.  We ordered pretty simple dishes but they just had no flavor at all!  After trying it out I'm positive all the good reviews on here are employees or owners creating them.
pos	Rosie Dakota and I LOVE Chaparral Dog Park!!! It's very convenient and surrounded by a lot of paths a desert xeriscape baseball fields ballparks and a lake with ducks.  The Scottsdale Park and Rec Dept. does a wonderful job of keeping the park clean and shaded.  You can find trash cans and poopy-pick up mitts located all over the park and paths.  The fenced in area is huge to let the dogs run play and sniff!
neg	I've eaten here many times but none as bad as last night. Service was excellent and highly attentive. Food absolutely horrible.  My expectation was they would serve a steak on par with their seafood. After all they were charging 39 bucks for a ribeye.  What I was hoping for was a 1- 1-1/2' thick steak cooked Pittsburgh style as I had ordered.  What I got a a 3/4 in thick piece of meat that was mostly fat gristle and in no way resembled Pittsburgh Style.  Salad similar to something you could get at Chick Filet Veggies blah. Bread basket ample but day old and if not it certainly wasn't fresh.   In addition to bad food we were crammed into a small room where we were nuts to butts with 6 other tables listening to conversations ranging from someone's recent bout with pinkeye and another couple who elected to speak entirely in French until the waiter showed up then it was like they turned off the French switch and suddenly began speaking English.   I've had it with this place. If I'm going to pay 150 bucks for dinner it'll be at Mortons or Maestro where the steaks are 1-1/2 in thick cooked to perfection and half of it doesnt wind up on the plate as fat and gristle
pos	General Manager Scott Petello is a good egg!!! Not to go into detail but let me assure you if you have any issues (albeit rare) speak with Scott and treat the guy with some respect as you state your case and I'd be surprised if you don't walk out totally satisfied as I just did. Like I always say..... \"Mistakes are inevitable it's how we recover from them that is important\"!!!  Thanks to Scott and his awesome staff. You've got a customer for life!! .......... :^)
neg	I have always been a fan of Burlington's deals however I will not be shopping at this one again. I went to return a belt... pretty simple. Instead I stood in the customer service line for 15 minutes thanks to an employee of Burlington buying/putting things on layaway. It took three other staff to help her out. There were no words said to me except \"Hold on\". I was pissed. When the lady was finally done the employee at the service asked \"what do you want?\" Serious help is needed there!  If you work in the area of \"customer service\" I think you should have some.
pos	Drop what you're doing and drive here. After I ate here I had to go back the next day for more.  The food is that good.  This cute little green building may have gone competely unoticed if I hadn't been driving down Palm Rd to avoid construction.  While waiting to turn onto 16th Street the \"Grand Opening\" sign caught my eye and my little yelping soul leaped for joy!  A new place to try!  It looked desolate from the outside but when I opened the door I was put at easy by the decor smell and cleanliness inside.  I ordered dinner for two to go.  The menu was awesome.  I loved seeing all the variety: poblano peppers mole mahi mahi mushrooms...something wrapped in banana leaves.  It made it difficult to choose something.  Here's what I've had so far: La Condesa Shrimp Burro and Baja Sur Dogfish Shark Taco.  They are both were very delicious meals but the shrimp burro stole the show.  So much flavor.  I snagged some bites from my hubbys mole and mahi mahi burros- mmmm such a delight.  The salsa bar is endless.  I really stocked up.  I was excited to try the strawberry salsa but it was too hot in fact it all was but I'm a big wimp when it comes to hot peppers. The horchata is handmade and delicious.  They throw pecans and some fruit in there too which is a yummy bonus!  As if the good food wasn't enough to win me over the art in this restaurant sho did!  I'm a sucker for Mexican folk art and Frida Kahlo is my Oprah.  There's a painting of her and Diego hanging over the salsa bar it's amazing.  All the paintings are great love the artist.
neg	Another night meeting friends here.  I have to laugh.  Waited another 20 minutes for my beer to be refilled at the bar.  A girl even took my empty without even asking if I wanted a refill.  A new brunette girl that I don't recognize left the bar and sat down with her guy friends on the customer side AT 9:25 ON A FRIDAY NIGHT.  Another bartender had to ask her to come back and work.  Management....  Pull your head out of your ass!  Sad to watch....  I need to talk my friends into another place!
